iter	Passed	Remaining
148	927	5294
149	932	5284
150	938	5278
151	944	5266
152	949	5257
153	955	5248
154	960	5236
155	965	5223
156	970	5213
157	976	5202
158	981	5191
159	987	5185
160	992	5170
161	997	5158
162	1002	5149
163	1008	5138
164	1013	5130
165	1018	5118
166	1023	5106
167	1029	5097
168	1035	5092
169	1041	5082
170	1046	5071
171	1051	5059
172	1056	5049
173	1061	5037
174	1065	5025
175	1071	5016
176	1077	5010
177	1082	5000
178	1090	5002
179	1096	4994
180	1103	4990
181	1108	4981
182	1113	4970
183	1118	4960
184	1123	4949
185	1128	4938
186	1133	4927
187	1138	4915
188	1143	4906
189	1148	4895
190	1153	4883
191	1158	4876
192	1163	4865
193	1168	4854
194	1173	4845
195	1178	4835
196	1183	4823
197	1188	4815
198	1193	4803
199	1198	4793
200	1203	4784
201	1208	4773
202	1213	4762
203	1217	4751
204	1222	4741
205	1227	4730
206	1232	4721
207	1237	4710
208	1242	4700
209	1246	4690
210	1251	4680
211	1256	4671
212	1261	4661
213	1266	4651
214	1271	4641
215	1275	4631
216	1280	4621
217	1286	4613
218	1290	4603
219	1295	4594
220	1300	4585
221	1305	4575
222	1310	4565
223	1315	4557
224	1320	4547
225	1325	4538
226	1330	4530
227	1335	4520
228	1339	4511
229	1344	4502
230	1349	4492
231	1354	4483
232	1359	4474
233	1364	4465
234	1368	4455
235	1374	4451
236	1379	4441
237	1384	4433
238	1389	4424
239	1394	4415
240	1399	4407
241	1404	4398
242	1409	4389
243	1414	4381
244	1418	4372
245	1423	4363
246	1428	4354
247	1433	4345
248	1437	4336
249	1443	4329
250	1448	4321
251	1452	4312
252	1457	4304
253	1462	4295
254	1467	4287
255	1472	4280
256	1477	4272
257	1482	4263
258	1487	4255
259	1492	4247
260	1497	4238
261	1502	4230
262	1506	4222
263	1511	4214
264	1516	4206
265	1521	4198
266	1526	4191
267	1531	4183
268	1536	4175
269	1541	4167
270	1546	4159
271	1551	4151
272	1555	4143
273	1560	4135
274	1565	4126
275	1571	4121
276	1575	4112
277	1580	4104
278	1585	4098
279	1590	4090
280	1595	4081
281	1600	4075
282	1605	4067
283	1610	4060
284	1615	4053
285	1620	4045
286	1625	4038
287	1630	4030
288	1635	4023
289	1640	4017
290	1646	4010
291	1650	4002
292	1656	3996
293	1660	3988
294	1665	3980
295	1671	3974
296	1675	3966
297	1680	3958
298	1685	3952
299	1690	3944
300	1695	3937
301	1700	3930
302	1705	3923
303	1710	3915
304	1715	3908
305	1719	3900
306	1724	3893
307	1730	3887
308	1735	3880
309	1740	3874
310	1745	3866
311	1750	3859
312	1755	3853
313	1760	3846
314	1766	3840
315	1771	3833
316	1776	3827
317	1781	3820
318	1787	3815
319	1792	3808
320	1799	3805
321	1804	3800
322	1809	3792
323	1816	3790
324	1821	3783
325	1828	3780
326	1833	3773
327	1839	3768
328	1845	3763
329	1850	3756
330	1855	3749
331	1860	3743
332	1865	3737
333	1871	3732
334	1877	3726
335	1882	3720
336	1888	3715
337	1894	3709
338	1898	3702
339	1904	3696
340	1908	3689
341	1914	3683
342	1919	3677
343	1924	3670
344	1930	3664
345	1935	3657
346	1940	3652
347	1945	3645
348	1950	3638
349	1955	3632
350	1961	3626
351	1966	3619
352	1971	3613
353	1976	3607
354	1981	3600
355	1987	3595
356	1992	3588
357	1998	3583
358	2003	3576
359	2008	3569
360	2013	3564
361	2018	3558
362	2023	3551
363	2028	3544
364	2033	3537
365	2038	3531
366	2043	3524
367	2048	3517
368	2053	3511
369	2058	3504
370	2062	3497
371	2067	3490
372	2072	3483
373	2077	3477
374	2083	3471
375	2088	3465
376	2092	3458
377	2098	3452
378	2102	3445
379	2107	3438
380	2113	3433
381	2118	3426
382	2122	3420
383	2128	3414
384	2133	3407
385	2138	3401
386	2143	3395
387	2148	3388
388	2153	3382
389	2158	3375
390	2162	3368
391	2168	3363
392	2173	3356
393	2178	3350
394	2183	3344
395	2188	3337
396	2193	3331
397	2198	3325
398	2203	3318
399	2208	3312
400	2213	3306
401	2218	3300
402	2223	3293
403	2228	3287
404	2232	3280
405	2237	3274
406	2242	3267
407	2247	3261
408	2252	3255
409	2257	3249
410	2262	3242
411	2267	3236
412	2272	3230
413	2277	3223
414	2283	3218
415	2287	3211
416	2292	3205
417	2298	3200
